Year,Month,Day,Hour,Minute,Temperature,Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2018,7,9,0,0,20.51,68,1019.2,0,0,0,0,0,0,0,11.59,334.23
2018,7,9,1,0,19.37,74,1019.4,0,0,0,0,0,0,0,10.59,342.18
2018,7,9,2,0,18.28,79,1019,0,0,0,0,0,0,0,8.05,333.43
2018,7,9,3,0,17.43,83,1019.2,0,0,0,0,0,0,0,7.13,315
2018,7,9,4,0,16.65,83,1019.2,0,0,0,0,0,0,0,12.1,306.53
2018,7,9,5,0,15.36,82,1019,0,0,0,0,0,7.81,0,13.9,306.57
2018,7,9,6,0,14.72,81,1019.2,0,10,21,0,10,53.62,45.39,14.17,297.22
2018,7,9,7,0,14.97,79,1018.8,0,11.7,39,0,0,52.53,173.55,13.53,295.2
2018,7,9,8,0,16.51,74,1018.8,0,8.4,28,2,0,54.64,315.95,14.37,292.07
2018,7,9,9,0,18.19,68,1018.8,0,66,0,66,10,17.87,429.87,15.32,293.55
2018,7,9,10,0,20.03,61,1018.3,0,50,0,50,0,28.09,547.35,15.48,287.59
2018,7,9,11,0,21.67,54,1018.2,0,0,0,0,0,60,677.29,17.42,288.06
2018,7,9,12,0,22.79,49,1017.8,0,0,0,0,0,60,764.51,18.69,285.64
2018,7,9,13,0,23.66,41,1017.2,0,0,0,0,0,60,813.46,18.84,296.08
2018,7,9,14,0,23.68,46,1017,0,10,0,0,10,53.62,809.9,17.42,288.06
2018,7,9,15,0,24.61,46,1016.2,0,10,0,0,10,53.62,747.6,17.87,288.8
2018,7,9,16,0,25,44,1015.3,0,10,1,0,10,53.62,586.51,17.19,289.57
2018,7,9,17,0,25.55,42,1015,0,10,21,0,10,53.62,586.51,16.62,287.65
2018,7,9,18,0,25.05,43,1014.4,0,47,100,47,22,30,374.69,18.46,290.56
