Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,8,2,0,0,25.22,69.00,1020.00,0.00,0.00,7.20,24.00,2.00,0.00,0.00,0.00,21.46,22.69,27.71,24.57,24.36,108.97,19.44
2018,8,2,1,0,24.23,71.00,1019.80,0.00,0.00,6.00,20.00,0.00,0.00,0.00,0.00,20.06,21.04,26.14,22.68,20.61,109.38,20.16
2018,8,2,2,0,23.50,74.00,1019.80,0.00,0.00,7.80,26.00,0.00,0.00,0.00,0.00,18.56,18.08,24.27,20.85,16.30,120.53,18.36
2018,8,2,3,0,22.85,77.00,1020.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.73,12.91,23.24,16.19,12.52,108.43,16.56
2018,8,2,4,0,22.23,78.00,1020.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.36,11.31,24.54,14.44,8.76,99.46,15.84
2018,8,2,5,0,21.86,76.00,1020.10,0.00,0.00,11.00,16.00,11.00,10.00,30.78,0.00,19.06,10.89,25.15,13.24,6.76,64.80,15.12
2018,8,2,6,0,21.84,72.00,1020.50,0.00,0.00,3.00,0.00,3.00,0.00,58.09,8.90,20.00,13.54,25.52,16.39,9.09,33.69,16.92
2018,8,2,7,0,22.71,65.00,1021.30,0.10,0.00,28.00,31.00,28.00,0.00,42.13,113.92,20.87,15.00,25.52,16.39,11.49,32.20,18.36
2018,8,2,8,0,24.22,55.00,1021.00,0.60,0.00,100.00,100.00,100.00,0.00,0.00,249.20,22.55,19.59,26.54,20.65,13.39,36.25,19.08
2018,8,2,9,0,26.20,44.00,1021.20,1.10,0.00,7.50,25.00,5.00,0.00,55.21,381.81,22.88,24.15,26.73,25.53,15.79,43.15,24.48
2018,8,2,10,0,27.96,36.00,1021.70,1.10,0.00,28.00,46.00,28.00,0.00,42.13,508.19,23.83,26.95,27.38,28.25,19.30,53.34,23.04
2018,8,2,11,0,29.31,32.00,1021.30,0.30,0.00,6.00,20.00,0.00,0.00,56.17,617.66,23.83,26.95,26.09,27.98,21.42,65.16,23.40
2018,8,2,12,0,30.65,30.00,1021.30,0.00,0.00,61.00,13.00,61.00,0.00,21.06,683.52,22.24,29.05,24.20,30.38,23.47,69.34,18.72
2018,8,2,13,0,31.75,28.00,1021.30,0.00,0.00,72.00,0.00,72.00,0.00,14.04,728.02,22.24,29.05,23.71,30.07,22.41,66.32,17.64
2018,8,2,14,0,30.74,50.00,1020.90,0.00,0.00,10.00,3.00,0.00,10.00,53.62,716.45,19.51,29.88,19.88,31.68,15.46,62.24,15.48
2018,8,2,15,0,31.42,46.00,1020.50,0.30,0.00,3.30,11.00,0.00,0.00,57.89,687.97,16.78,35.39,17.21,37.35,19.80,53.13,12.96
2018,8,2,16,0,31.76,43.00,1020.40,0.80,0.00,10.00,0.00,0.00,10.00,53.62,632.79,15.19,36.33,14.90,37.15,16.32,48.58,14.04
2018,8,2,17,0,31.78,42.00,1020.60,0.00,0.00,10.00,0.00,0.00,10.00,53.62,525.99,13.40,30.70,13.28,32.83,16.06,42.27,13.68
2018,8,2,18,0,30.93,43.00,1020.80,0.00,0.00,100.00,0.00,64.00,100.00,0.00,343.54,11.97,21.16,12.57,23.63,14.28,33.69,10.44
2018,8,2,19,0,30.39,44.00,1021.10,0.00,0.00,96.00,0.00,96.00,52.00,0.00,89.89,12.73,28.74,13.89,31.22,15.55,42.18,11.88
2018,8,2,20,0,29.99,44.00,1021.00,0.00,0.00,3.00,0.00,3.00,0.00,58.09,149.52,15.18,22.31,19.19,23.20,15.99,54.16,13.32
2018,8,2,21,0,27.99,43.00,1021.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,37.38,17.87,18.80,25.48,23.30,14.37,67.93,24.84
2018,8,2,22,0,26.43,43.00,1021.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.87,27.60,26.49,31.10,12.52,71.57,23.40
2018,8,2,23,0,25.07,44.00,1022.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.41,29.74,26.06,32.59,10.14,73.50,26.64
2018,8,3,0,0,23.92,43.00,1022.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,30.76,24.86,34.38,8.56,75.38,22.32
2018,8,3,1,0,23.06,42.00,1022.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.88,32.97,24.19,36.53,6.88,83.99,22.32
2018,8,3,2,0,22.42,43.00,1022.80,0.00,0.00,10.00,0.00,10.00,10.00,0.00,0.00,14.48,34.88,23.78,39.47,4.35,65.56,23.04
2018,8,3,3,0,21.92,44.00,1022.60,0.00,0.00,1.20,4.00,0.00,0.00,0.00,0.00,13.04,39.40,23.93,45.00,2.52,360.00,21.60
2018,8,3,4,0,21.38,47.00,1022.50,0.00,0.00,10.00,9.00,10.00,10.00,0.00,0.00,11.97,43.78,23.28,50.65,5.86,349.38,24.84
2018,8,3,5,0,20.90,50.00,1022.60,0.00,0.00,10.00,10.00,10.00,10.00,29.73,0.00,10.69,45.00,22.77,55.30,8.43,340.02,23.40
2018,8,3,6,0,20.53,54.00,1022.60,0.00,0.00,10.00,0.00,0.00,10.00,53.62,6.23,9.42,46.55,22.10,59.68,12.85,348.69,25.92
2018,8,3,7,0,21.48,55.00,1022.90,0.00,0.00,10.00,0.00,0.00,10.00,53.62,97.90,8.09,57.72,17.73,66.04,18.78,12.17,20.52
2018,8,3,8,0,23.17,52.00,1022.80,0.00,0.00,0.00,0.00,0.00,0.00,60.00,239.41,8.77,70.82,9.79,72.90,19.01,24.62,18.72
2018,8,3,9,0,25.08,46.00,1022.80,0.00,0.00,0.00,0.00,0.00,0.00,60.00,387.15,8.21,74.74,8.21,74.74,17.58,34.99,14.04
2018,8,3,10,0,27.08,40.00,1023.20,0.00,0.00,0.00,0.00,0.00,0.00,60.00,522.43,7.63,70.71,6.95,68.75,14.69,17.10,10.08
2018,8,3,11,0,28.88,35.00,1022.70,0.00,0.00,0.00,0.00,0.00,0.00,60.00,632.79,9.45,49.64,9.18,48.18,15.55,5.31,10.80
2018,8,3,12,0,30.05,33.00,1022.30,0.00,0.00,0.00,0.00,0.00,0.00,60.00,713.78,9.79,36.03,9.00,36.87,12.57,13.24,11.16
2018,8,3,13,0,30.70,33.00,1022.10,0.00,0.00,0.00,0.00,0.00,0.00,60.00,761.84,9.66,26.57,8.85,26.57,10.63,28.30,10.80
