LAT;;;;;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244;52.5244
LON;;;;;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105;13.4105
ASL;;;;;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000;74.0000
CITY;;;;;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin;Berlin
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;17;00;00;22.23;57.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.24;135.00;27.50;142.98;21.24;180.00;28.08
2018;08;17;01;00;21.37;58.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.73;135.00;27.08;144.20;21.96;180.00;28.80
2018;08;17;02;00;20.60;60.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.48;133.83;27.08;144.20;21.60;180.95;27.36
2018;08;17;03;00;19.91;61.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.97;133.78;25.57;144.74;21.27;182.91;28.08
2018;08;17;04;00;19.17;64.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.74;129.56;24.02;150.36;18.37;182.25;27.72
2018;08;17;05;00;18.48;67.00;1014.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.23;129.29;23.19;154.23;13.32;181.55;24.48
2018;08;17;06;00;17.85;70.00;1014.20;0.00;0.00;0.00;0.00;0.00;0.00;10.24;0.00;10.18;135.00;21.66;158.55;11.17;178.15;19.44
2018;08;17;07;00;18.46;69.00;1014.30;0.00;0.00;2.10;7.00;0.00;0.00;58.66;68.53;10.23;140.71;17.07;155.06;10.50;174.09;14.40
2018;08;17;08;00;20.04;64.00;1014.00;0.00;0.00;1.50;5.00;0.00;0.00;59.04;212.71;9.73;141.01;10.23;140.71;10.11;175.91;11.52
2018;08;17;09;00;22.17;61.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;352.44;8.16;131.42;8.16;131.42;9.72;180.00;10.44
2018;08;17;10;00;24.69;55.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;478.82;9.18;138.18;8.91;136.64;10.09;182.05;9.72
2018;08;17;11;00;26.96;50.00;1013.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;591.85;9.29;144.46;8.79;145.01;10.25;198.43;9.36
2018;08;17;12;00;28.66;44.00;1013.70;0.00;0.00;10.00;12.00;0.00;10.00;53.62;658.60;10.39;165.96;9.96;167.47;11.17;200.77;11.88
2018;08;17;13;00;29.42;37.00;1013.70;0.00;0.00;10.00;12.00;0.00;10.00;53.62;669.28;9.03;184.57;8.67;184.76;10.95;189.46;10.80
2018;08;17;14;00;30.30;37.00;1013.50;0.00;0.00;10.00;32.00;10.00;10.00;53.62;684.41;8.35;172.57;7.95;174.81;8.31;184.97;11.88
2018;08;17;15;00;30.63;34.00;1013.30;0.00;0.00;14.00;43.00;14.00;10.00;51.06;641.69;5.00;210.26;4.69;212.47;6.44;206.57;9.36
2018;08;17;16;00;30.81;32.00;1013.20;0.00;0.00;10.20;34.00;10.00;10.00;53.49;580.28;4.61;231.34;4.10;232.13;6.11;225.00;9.36
2018;08;17;17;00;30.72;32.00;1013.20;0.40;0.00;10.00;14.00;10.00;10.00;53.62;490.39;4.21;250.02;3.88;248.20;5.69;235.30;9.00
2018;08;17;18;00;30.08;33.00;1013.50;0.50;0.00;77.00;0.00;77.00;77.00;10.85;345.32;7.56;270.00;7.57;267.27;8.83;258.23;10.44
2018;08;17;19;00;29.27;36.00;1013.70;0.60;0.00;100.00;0.00;81.00;100.00;0.00;91.67;9.98;295.64;11.44;294.15;11.28;286.70;12.60
2018;08;17;20;00;26.19;54.00;1014.60;0.40;0.00;100.00;100.00;100.00;100.00;0.00;24.92;26.30;340.82;33.79;345.82;12.41;330.46;20.52
2018;08;17;21;00;23.66;65.00;1016.10;0.20;0.00;100.00;39.00;100.00;100.00;0.00;0.89;23.80;3.47;30.74;5.38;14.59;344.25;36.36
