Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation daily sum [sfc],Snowfall amount raw daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Shortwave Radiation daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Wind Speed daily mean [80 m above gnd],Wind Direction daily mean [80 m above gnd],Wind Speed daily mean [900 mb],Wind Direction daily mean [900 mb],Wind Gust daily mean [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd],Wind Speed daily max [80 m above gnd],Wind Speed daily min [80 m above gnd],Wind Speed daily max [900 mb],Wind Speed daily min [900 mb],Wind Gust daily max [sfc],Wind Gust daily min [sfc]
2018,8,2,0,0,28.05,70.75,1016.53,0.30,0.00,29.56,44.00,4.88,19.08,394.92,6164.14,17.76,91.63,22.97,87.77,16.59,100.52,17.92,33.69,22.61,97.00,45.00,1018.30,1015.60,100.00,0.00,100.00,0.00,86.00,0.00,100.00,0.00,25.54,9.11,30.22,12.02,30.76,7.07,27.36,9.36
2018,8,3,0,0,26.81,78.21,1016.99,3.50,0.00,64.96,41.96,55.42,29.67,10.43,2769.68,16.82,95.66,22.27,94.94,21.36,100.31,17.26,30.68,22.93,97.00,55.00,1018.00,1016.20,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,22.74,11.61,30.62,14.41,33.24,13.85,30.24,9.36
2018,8,4,0,0,26.39,79.42,1017.23,0.80,0.00,43.62,33.04,34.38,25.75,247.14,3313.47,18.46,89.39,23.85,89.34,22.05,99.29,18.71,30.43,22.37,95.00,57.00,1018.20,1016.40,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,23.05,15.39,33.00,18.45,27.85,16.92,23.76,13.32
2018,8,5,0,0,26.75,79.42,1017.80,1.20,0.00,24.05,24.62,15.88,18.04,500.81,4748.15,22.28,79.47,29.35,79.06,28.84,95.51,22.62,32.50,22.65,97.00,51.00,1018.90,1016.70,100.00,1.50,100.00,0.00,100.00,0.00,93.00,0.00,27.09,19.08,35.46,25.20,35.82,24.48,27.72,18.36
2018,8,6,0,0,26.57,76.58,1017.26,1.10,0.00,40.20,5.88,15.50,40.08,296.88,4424.19,19.69,70.98,26.06,72.65,30.20,85.68,19.15,30.99,22.84,95.00,55.00,1018.60,1015.30,100.00,1.00,88.00,0.00,96.00,0.00,100.00,0.00,23.51,15.65,34.40,20.77,36.03,21.97,23.76,12.96
2018,8,7,0,0,26.75,74.92,1017.42,0.50,0.00,43.67,0.00,30.29,20.75,465.44,3863.49,13.90,118.26,18.24,119.61,17.04,131.36,15.48,31.66,22.66,94.00,53.00,1018.40,1016.70,100.00,9.00,0.00,0.00,100.00,0.00,100.00,0.00,20.97,9.42,24.50,11.49,27.72,10.01,21.60,11.16
2018,8,8,0,0,27.68,71.08,1018.13,1.20,0.00,21.82,19.46,20.62,9.79,540.39,6008.39,15.51,91.55,20.08,90.83,19.22,105.73,17.23,33.13,23.35,89.00,47.00,1019.90,1017.00,100.00,0.00,100.00,0.00,100.00,0.00,92.00,0.00,22.24,9.20,31.06,10.63,25.81,14.44,24.12,10.08
2018,8,9,0,0,28.69,72.83,1018.24,0.00,0.00,39.00,16.92,34.00,4.33,550.23,7275.75,15.78,79.65,21.01,75.87,16.36,94.40,16.05,34.85,23.61,95.00,46.00,1019.90,1016.60,100.00,0.00,100.00,0.00,100.00,0.00,17.00,0.00,21.41,7.28,32.55,10.74,25.93,2.88,27.36,5.04
2018,8,10,0,0,28.05,75.12,1017.62,0.00,0.00,11.15,5.21,0.04,10.04,668.98,6652.75,16.91,65.03,22.62,66.07,16.46,62.94,18.15,33.91,22.75,97.00,50.00,1019.70,1015.90,23.00,0.00,27.00,0.00,1.00,0.00,23.00,0.00,21.92,12.32,30.43,15.68,21.09,12.88,22.68,12.96
2018,8,11,0,0,26.48,76.71,1017.63,1.80,0.00,34.17,5.12,33.08,12.96,403.69,4179.44,12.28,73.33,16.21,75.13,12.04,75.06,12.84,32.26,22.93,95.00,50.00,1018.60,1017.00,100.00,0.00,96.00,0.00,100.00,0.00,96.00,0.00,16.06,9.35,22.26,12.18,17.87,5.40,16.56,8.28
