LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;17;00;00;11.83;70.00;1023.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;17.67;213.37;20.97;214.51;29.70;210.61;25.20
2018;08;17;01;00;11.50;70.00;1024.40;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;16.42;206.00;19.64;206.10;28.41;202.34;22.68
2018;08;17;02;00;11.36;68.00;1025.20;0.00;0.00;32.00;0.00;0.00;32.00;0.00;0.00;14.58;200.22;17.11;202.25;29.16;200.22;22.68
2018;08;17;03;00;11.63;65.00;1025.90;0.00;0.00;53.00;0.00;0.00;53.00;0.00;0.00;13.71;193.67;15.83;197.20;28.64;194.56;22.32
2018;08;17;04;00;11.48;64.00;1026.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;13.36;184.64;14.44;184.29;27.76;189.71;21.24
2018;08;17;05;00;11.40;64.00;1027.00;0.00;0.00;28.00;0.00;0.00;28.00;0.00;0.00;13.32;180.00;13.70;176.99;27.19;186.84;18.36
2018;08;17;06;00;10.87;67.00;1027.50;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;14.44;175.71;14.92;171.67;25.58;182.42;17.64
2018;08;17;07;00;10.71;71.00;1028.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;11.62;163.81;13.10;159.08;22.20;171.61;16.56
2018;08;17;08;00;11.00;70.00;1029.90;0.00;0.00;100.00;0.00;0.00;100.00;0.00;13.35;12.40;154.18;13.36;152.74;23.24;163.81;15.48
2018;08;17;09;00;11.39;66.00;1030.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;77.43;13.53;151.39;13.78;146.73;20.83;161.88;15.84
2018;08;17;10;00;12.35;62.00;1030.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;258.10;11.18;146.82;10.51;141.95;17.08;161.57;13.68
2018;08;17;11;00;13.10;60.00;1031.50;0.00;0.00;100.00;0.00;0.00;100.00;0.00;400.50;11.30;157.52;9.98;154.36;17.25;156.64;15.12
2018;08;17;12;00;13.58;59.00;1031.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;394.27;11.62;163.81;10.50;157.83;17.24;151.29;14.76
2018;08;17;13;00;14.22;56.00;1030.90;0.00;0.00;100.00;0.00;0.00;100.00;0.00;487.72;11.25;172.65;9.35;164.36;15.46;152.24;13.68
2018;08;17;14;00;15.57;48.00;1030.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;646.14;14.71;158.46;14.02;150.80;17.28;144.32;15.48
2018;08;17;15;00;15.59;48.00;1030.50;0.00;0.00;0.00;0.00;0.00;0.00;60.00;584.73;17.08;161.57;16.90;153.43;17.15;140.96;15.84
2018;08;17;16;00;15.18;49.00;1030.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;472.59;19.24;162.58;20.00;156.67;16.14;128.66;17.64
2018;08;17;17;00;14.45;50.00;1030.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;316.84;20.62;163.78;22.21;160.10;14.18;113.96;18.00
2018;08;17;18;00;13.30;54.00;1030.90;0.00;0.00;0.00;0.00;0.00;0.00;18.82;136.17;20.04;162.22;24.70;161.30;13.80;105.12;19.08
2018;08;17;19;00;12.07;59.00;1030.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.45;18.79;159.83;28.28;158.33;13.76;96.01;20.16
2018;08;17;20;00;11.39;62.00;1031.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.86;156.37;29.32;155.32;13.68;88.49;20.52
2018;08;17;21;00;10.91;64.00;1031.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.39;152.90;28.59;148.91;12.86;72.07;22.68
2018;08;17;22;00;10.48;66.00;1030.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.69;149.04;25.16;146.08;11.21;47.60;24.84
2018;08;17;23;00;9.82;70.00;1030.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.38;146.31;18.67;146.00;12.07;26.57;15.84
2018;08;18;00;00;9.97;71.00;1030.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.93;140.53;17.17;146.98;16.10;10.30;9.72
2018;08;18;01;00;9.91;72.00;1029.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.62;129.81;14.08;147.53;19.08;358.92;6.84
2018;08;18;02;00;9.83;72.00;1029.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.21;109.98;9.22;141.34;19.83;344.20;4.32
2018;08;18;03;00;9.80;70.00;1029.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.98;84.81;5.19;123.69;20.95;335.64;2.52
2018;08;18;04;00;9.64;69.00;1028.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.35;65.56;4.10;74.74;23.19;334.23;3.96
