Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation daily sum [sfc],Snowfall amount raw daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Shortwave Radiation daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Wind Speed daily mean [80 m above gnd],Wind Direction daily mean [80 m above gnd],Wind Speed daily mean [900 mb],Wind Direction daily mean [900 mb],Wind Gust daily mean [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd],Wind Speed daily max [80 m above gnd],Wind Speed daily min [80 m above gnd],Wind Speed daily max [900 mb],Wind Speed daily min [900 mb],Wind Gust daily max [sfc],Wind Gust daily min [sfc]
2018,8,2,0,0,10.17,90.29,1009.17,1.30,0.00,100.00,23.46,35.46,100.00,0.00,1617.13,6.23,247.77,6.23,256.25,11.32,281.47,8.69,11.64,9.27,94.00,86.00,1013.30,1005.10,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,11.37,2.19,14.62,2.55,17.08,6.13,15.12,2.52
2018,8,3,0,0,10.80,91.00,1011.15,13.50,0.00,100.00,44.67,93.08,100.00,0.00,2332.69,13.83,168.73,18.28,173.25,27.04,180.65,19.68,12.54,8.97,96.00,83.00,1013.90,1009.00,100.00,100.00,100.00,0.00,100.00,2.00,100.00,100.00,24.70,3.22,34.15,3.26,48.07,4.07,33.12,3.60
2018,8,4,0,0,13.15,79.46,1011.67,0.00,0.00,48.64,9.42,5.96,44.17,685.21,6359.05,5.73,318.85,5.93,281.29,11.41,84.40,7.90,16.35,9.52,96.00,63.00,1012.80,1010.50,100.00,0.00,100.00,0.00,67.00,0.00,100.00,0.00,10.44,0.72,9.83,1.48,16.75,3.60,11.88,4.32
2018,8,5,0,0,14.22,67.08,1009.03,0.00,0.00,69.50,40.17,51.38,47.58,421.28,5637.26,16.11,128.99,20.33,129.86,29.04,133.43,21.63,17.68,9.73,90.00,52.00,1011.70,1007.00,100.00,7.00,100.00,0.00,100.00,0.00,100.00,0.00,24.63,8.56,29.87,9.69,51.89,17.58,29.88,12.96
2018,8,6,0,0,13.46,59.54,1004.14,0.00,0.00,27.71,0.00,0.00,27.71,599.30,5909.60,20.36,71.50,25.08,75.93,37.56,95.37,27.61,17.89,9.04,75.00,45.00,1007.10,1001.50,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,28.82,12.25,34.41,10.14,50.32,18.73,33.12,19.08
2018,8,7,0,0,8.59,80.50,1005.08,0.00,0.00,73.33,1.25,46.42,73.29,188.31,3620.52,34.35,30.36,39.36,31.01,65.11,57.96,43.42,11.43,6.06,95.00,68.00,1006.60,1004.20,100.00,0.00,17.00,0.00,100.00,0.00,100.00,0.00,41.56,23.33,48.24,21.53,78.19,40.98,53.28,28.08
2018,8,8,0,0,7.51,84.04,1006.58,0.00,0.00,92.83,0.25,7.79,87.50,98.30,5725.37,27.40,127.16,30.19,141.31,46.55,36.67,36.23,10.70,4.87,94.00,69.00,1007.70,1005.40,100.00,34.00,4.00,0.00,54.00,0.00,100.00,0.00,31.88,17.32,36.40,18.72,61.00,30.08,42.12,24.84
2018,8,9,0,0,6.21,91.96,1007.16,0.00,0.00,100.00,0.00,7.50,100.00,0.00,3873.28,13.17,337.99,12.13,331.48,17.51,82.05,18.48,7.86,4.35,95.00,82.00,1010.30,1004.90,100.00,100.00,0.00,0.00,74.00,0.00,100.00,100.00,16.45,10.31,17.55,8.85,30.36,2.81,23.40,9.72
2018,8,10,0,0,8.63,85.17,1010.28,3.10,0.00,87.49,56.33,64.38,79.54,176.30,3760.25,17.28,205.25,21.24,206.11,26.64,222.42,22.60,12.00,5.06,95.00,67.00,1011.60,1008.30,100.00,9.30,100.00,0.00,100.00,0.00,100.00,3.00,35.79,0.36,49.34,1.02,67.21,5.35,55.08,0.36
2018,8,11,0,0,10.85,87.29,1008.34,20.20,0.00,100.00,100.00,100.00,100.00,0.00,1807.59,32.79,148.81,45.73,150.39,66.98,165.89,46.86,12.08,9.40,90.00,80.00,1010.20,1005.80,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,35.50,29.13,51.06,40.68,76.06,58.07,51.12,43.92
