LAT;;;;;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355;64.1355
LON;;;;;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954;-21.8954
ASL;;;;;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000;37.0000
CITY;;;;;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik
DOMAIN;;;;;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12;NEMS12
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;17;00;00;10.48;81.00;995.40;0.00;0.00;100.00;70.00;22.00;100.00;0.00;0.00;11.53;91.79;15.38;106.31;22.90;143.31;10.08
2018;08;17;01;00;11.57;74.00;995.00;0.00;0.00;100.00;100.00;80.00;100.00;0.00;0.00;12.07;107.35;15.68;121.87;20.52;142.13;10.80
2018;08;17;02;00;11.77;70.00;995.10;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;11.50;110.14;15.88;122.97;17.17;146.98;11.52
2018;08;17;03;00;11.47;70.00;994.40;0.00;0.00;100.00;41.00;41.00;100.00;0.00;0.00;9.57;109.80;14.58;122.91;16.42;154.00;12.24
2018;08;17;04;00;11.15;73.00;993.80;0.00;0.00;100.00;0.00;31.00;100.00;0.00;0.00;10.16;112.93;15.91;127.65;18.68;154.92;11.88
2018;08;17;05;00;10.94;76.00;993.60;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;10.81;119.98;17.07;132.44;21.87;159.78;21.24
2018;08;17;06;00;10.77;79.00;993.10;0.00;0.00;100.00;100.00;100.00;100.00;0.00;2.67;12.89;125.91;19.35;133.49;29.04;160.44;25.56
2018;08;17;07;00;10.90;80.00;992.70;0.00;0.00;100.00;0.00;100.00;100.00;0.00;36.49;14.84;129.09;21.38;135.00;36.07;152.67;28.44
2018;08;17;08;00;11.09;78.00;992.20;0.00;0.00;100.00;0.00;100.00;100.00;0.00;68.53;16.49;126.12;21.99;129.69;37.14;146.46;25.56
2018;08;17;09;00;11.65;75.00;992.60;0.00;0.00;100.00;0.00;100.00;100.00;0.00;113.03;18.16;129.37;24.97;132.66;35.32;150.04;25.20
2018;08;17;10;00;11.80;75.00;992.30;0.00;0.00;100.00;0.00;100.00;100.00;0.00;141.51;18.86;131.91;25.46;133.85;32.85;145.27;25.56
2018;08;17;11;00;11.81;76.00;991.60;0.00;0.00;100.00;0.00;100.00;100.00;0.00;158.42;17.34;131.63;21.90;133.67;29.09;139.01;21.60
2018;08;17;12;00;14.51;62.00;989.80;0.00;0.00;100.00;39.00;100.00;36.00;0.00;158.42;13.10;110.92;14.00;107.97;20.95;109.06;19.08
2018;08;17;13;00;14.80;61.00;989.20;0.00;0.00;100.00;32.00;100.00;27.00;0.00;156.64;14.24;106.14;16.86;106.11;23.91;108.43;18.00
2018;08;17;14;00;14.96;61.00;989.00;0.40;0.00;100.00;32.00;100.00;90.00;0.00;167.32;17.31;106.93;23.34;109.83;29.69;112.83;20.52
2018;08;17;15;00;14.89;62.00;988.70;0.80;0.00;100.00;25.00;100.00;100.00;0.00;175.33;20.00;103.54;27.32;108.43;32.45;109.44;22.32
2018;08;17;16;00;14.75;63.00;989.10;0.90;0.00;100.00;20.00;100.00;100.00;0.00;173.55;18.03;93.43;22.61;99.16;28.47;99.46;22.68
2018;08;17;17;00;14.78;62.00;990.00;1.00;0.00;100.00;2.00;83.00;100.00;0.00;174.44;15.98;67.48;16.12;66.30;20.78;75.96;20.88
2018;08;17;18;00;13.79;68.00;990.50;0.90;0.00;100.00;0.00;32.00;100.00;0.00;177.11;17.65;39.21;19.80;27.03;22.83;52.05;18.72
2018;08;17;19;00;13.35;69.00;991.20;0.20;0.00;100.00;0.00;28.00;100.00;0.00;145.96;21.75;28.69;24.80;27.68;27.38;50.87;21.24
2018;08;17;20;00;11.77;72.00;991.90;0.00;0.00;24.00;23.00;24.00;0.00;44.68;193.13;23.84;25.02;27.37;26.57;27.44;51.93;24.12
2018;08;17;21;00;9.45;80.00;993.30;0.00;0.00;0.00;0.00;0.00;0.00;60.00;91.67;19.86;22.38;18.35;15.95;27.00;42.84;29.52
2018;08;17;22;00;7.77;86.00;994.50;0.00;0.00;0.00;0.00;0.00;0.00;42.34;7.12;17.11;22.25;15.89;13.09;27.30;48.74;30.24
2018;08;17;23;00;6.90;89.00;995.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.71;26.57;18.39;23.05;26.50;53.29;31.68
2018;08;18;00;00;6.21;90.00;996.70;0.00;0.00;6.00;0.00;0.00;6.00;0.00;0.00;18.19;27.07;20.14;24.27;30.93;50.19;21.60
2018;08;18;01;00;5.93;91.00;997.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;20.45;26.11;24.80;27.68;42.44;57.12;27.36
2018;08;18;02;00;6.11;94.00;999.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;23.54;23.43;24.20;22.75;43.94;55.01;31.32
2018;08;18;03;00;6.21;95.00;999.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;24.93;17.65;28.39;15.45;44.40;48.95;30.24
2018;08;18;04;00;6.31;95.00;1000.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;26.21;15.95;31.21;16.76;44.04;44.67;33.12
