Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation daily sum [sfc],Snowfall amount raw daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Shortwave Radiation daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Wind Speed daily mean [80 m above gnd],Wind Direction daily mean [80 m above gnd],Wind Speed daily mean [900 mb],Wind Direction daily mean [900 mb],Wind Gust daily mean [sfc],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd],Wind Speed daily max [80 m above gnd],Wind Speed daily min [80 m above gnd],Wind Speed daily max [900 mb],Wind Speed daily min [900 mb],Wind Gust daily max [sfc],Wind Gust daily min [sfc]
2018,8,2,0,0,28.13,81.12,1003.44,3.00,0.00,59.29,16.54,36.04,59.00,260.61,3507.49,16.26,23.06,19.10,24.04,29.37,44.61,19.95,30.48,26.49,92.00,70.00,1004.70,1001.60,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,21.07,9.89,25.07,14.84,48.94,18.44,29.52,14.76
2018,8,3,0,0,26.96,90.62,1000.59,5.30,0.00,100.00,0.33,13.54,100.00,0.00,1714.14,17.33,115.89,19.59,115.59,33.54,113.42,21.06,27.98,25.69,94.00,86.00,1002.80,999.40,100.00,100.00,5.00,0.00,100.00,0.00,100.00,100.00,28.94,4.61,36.12,3.89,59.44,4.33,37.44,5.04
2018,8,4,0,0,28.85,81.71,1005.26,0.00,0.00,20.46,0.00,0.00,20.46,639.04,6631.39,19.78,163.86,24.19,165.39,33.74,187.13,24.87,32.23,25.75,97.00,65.00,1006.40,1003.30,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,25.16,11.97,27.61,20.62,51.44,27.72,28.08,20.16
2018,8,5,0,0,29.52,78.75,1006.93,0.00,0.00,11.87,0.12,0.00,11.83,783.28,7263.29,16.59,151.50,19.77,153.90,23.51,176.88,21.67,32.92,26.51,95.00,61.00,1007.90,1006.20,100.00,0.00,3.00,0.00,0.00,0.00,100.00,0.00,21.60,11.92,22.13,17.67,29.80,11.37,24.48,17.64
2018,8,6,0,0,30.04,79.71,1006.67,0.00,0.00,45.08,0.04,0.00,45.08,629.70,6804.05,11.82,141.03,13.50,143.53,9.26,173.88,13.39,33.89,27.25,95.00,59.00,1007.40,1005.50,100.00,0.00,1.00,0.00,0.00,0.00,100.00,0.00,15.04,9.00,17.57,7.99,17.48,1.53,24.12,7.20
2018,8,7,0,0,29.64,78.17,1006.82,0.00,0.00,37.92,0.83,0.00,37.92,636.49,6823.63,12.70,125.04,14.17,127.68,11.29,128.63,14.55,33.38,27.13,95.00,57.00,1007.70,1005.90,100.00,0.00,17.00,0.00,0.00,0.00,100.00,0.00,18.86,9.00,18.51,9.59,19.20,1.08,19.44,9.36
2018,8,8,0,0,28.85,78.75,1007.14,0.00,0.00,7.98,18.42,0.00,5.04,755.95,6794.26,10.47,101.68,11.81,104.26,16.78,97.41,14.28,32.24,25.49,95.00,62.00,1008.00,1006.10,37.00,0.00,100.00,0.00,0.00,0.00,37.00,0.00,16.98,3.42,16.56,5.24,25.56,12.24,17.64,8.64
2018,8,9,0,0,29.43,75.29,1006.43,0.00,0.00,21.47,71.50,0.00,2.92,680.34,6881.48,9.29,87.32,10.43,92.41,14.53,85.84,12.07,33.00,26.22,92.00,56.00,1007.40,1005.30,30.00,0.00,100.00,0.00,0.00,0.00,10.00,0.00,16.30,1.94,15.55,4.10,20.97,11.30,15.48,6.48
2018,8,10,0,0,29.76,73.96,1005.30,0.00,0.00,8.32,23.42,3.29,0.00,800.11,7177.85,7.38,107.00,8.66,110.27,10.80,57.60,10.95,34.16,25.90,94.00,52.00,1006.50,1003.70,61.00,0.00,100.00,0.00,61.00,0.00,0.00,0.00,15.50,0.36,14.87,1.44,18.67,3.98,16.20,2.88
2018,8,11,0,0,29.84,73.25,1002.93,0.00,0.00,32.42,25.75,16.67,15.04,695.83,6718.61,11.41,61.11,12.31,62.56,16.78,50.02,12.87,33.17,27.70,88.00,54.00,1004.10,1001.30,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,19.35,3.55,19.06,5.09,24.99,9.22,19.08,3.96
2018,8,12,0,0,27.29,86.12,1000.25,46.60,0.00,99.33,72.96,93.42,77.00,4.47,1246.89,22.67,69.65,26.92,70.64,51.90,91.49,29.40,28.11,25.75,95.00,78.00,1002.60,997.10,100.00,87.00,100.00,0.00,100.00,10.00,100.00,0.00,33.67,7.52,38.85,9.89,77.32,17.53,42.12,10.80
2018,8,13,0,0,28.71,82.17,1001.10,4.50,0.00,64.33,30.75,29.54,63.75,458.94,6169.48,34.13,126.76,40.31,127.96,72.07,148.01,44.64,31.19,26.41,94.00,69.00,1005.50,997.40,100.00,10.00,100.00,0.00,100.00,0.00,100.00,10.00,44.81,24.18,53.72,29.78,93.88,53.94,58.32,34.56
2018,8,14,0,0,28.18,82.79,1006.14,0.10,0.00,57.17,17.17,0.00,55.33,520.85,3853.70,20.96,114.41,24.28,115.42,43.43,136.60,28.11,29.57,27.01,88.00,77.00,1007.20,1005.20,100.00,10.00,100.00,0.00,0.00,0.00,100.00,6.00,23.42,18.43,29.28,21.93,56.51,37.96,33.84,24.12
2018,8,15,0,0,28.12,83.38,1005.21,0.60,0.00,59.92,8.08,0.00,59.92,246.06,2847.11,16.96,76.90,19.70,77.81,31.93,94.39,21.36,29.40,27.02,89.00,78.00,1006.20,1003.40,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,19.77,12.96,24.72,17.02,39.97,25.01,25.20,17.64
2018,8,16,0,0,27.47,88.12,998.80,44.50,0.00,92.08,47.08,54.17,92.08,53.62,1834.29,26.47,59.57,30.93,60.60,57.68,39.97,34.23,29.50,26.57,96.00,74.00,1003.50,992.70,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,36.97,15.50,44.27,20.61,88.90,35.94,43.92,21.60
