LAT;;;;;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679;-33.8679
LON;;;;;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207;151.207
ASL;;;;;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000;58.0000
CITY;;;;;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney;Sydney
DOMAIN;;;;;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL;NEMSGLOBAL
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;17;00;00;8.84;42.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.31;254.74;23.51;242.65;28.19;241.80;22.32
2018;08;17;01;00;7.80;42.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.57;256.76;22.54;243.43;27.14;248.20;21.96
2018;08;17;02;00;6.92;43.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.43;259.99;20.66;247.46;27.07;256.15;21.96
2018;08;17;03;00;6.06;45.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.32;263.29;19.48;253.91;28.00;261.87;22.32
2018;08;17;04;00;5.31;47.00;1014.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.26;266.63;18.49;263.29;28.91;265.00;17.64
2018;08;17;05;00;4.60;49.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.24;270.00;18.73;272.20;29.22;266.47;18.00
2018;08;17;06;00;3.94;52.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.32;276.71;19.91;282.53;29.20;267.17;18.36
2018;08;17;07;00;3.12;56.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;28.04;10.68;12.57;283.24;22.09;289.03;29.18;267.88;22.32
2018;08;17;08;00;6.13;51.00;1015.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;155.75;12.76;286.39;23.87;293.09;29.53;268.60;19.08
2018;08;17;09;00;11.25;44.00;1016.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;339.09;15.73;285.95;21.41;289.65;30.24;269.32;21.24
2018;08;17;10;00;13.55;41.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;492.17;17.11;278.47;22.31;280.22;32.07;267.43;20.88
2018;08;17;11;00;15.10;36.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;601.64;16.75;278.65;21.71;275.71;29.22;266.47;20.88
2018;08;17;12;00;16.05;30.00;1013.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;659.49;16.17;281.56;20.67;277.00;26.32;273.14;22.68
2018;08;17;13;00;16.70;28.00;1013.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;658.60;15.39;280.78;19.56;276.34;23.89;276.05;23.76
2018;08;17;14;00;16.98;28.00;1012.40;0.00;0.00;14.00;0.00;0.00;14.00;51.06;603.42;14.21;278.75;18.06;274.57;22.46;276.44;28.08
2018;08;17;15;00;16.99;29.00;1012.10;0.00;0.00;32.00;0.00;0.00;32.00;39.57;496.62;12.68;276.52;15.88;273.90;22.03;274.69;24.84
