LAT;;;;;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803;50.9803
LON;;;;;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290;11.3290
ASL;;;;;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000;220.000
CITY;;;;;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar;Weimar
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;MSL;MSL;sfc;sfc;high cld lay;high cld lay;mid cld lay;mid cld lay;low cld lay;low cld lay;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust;Temperature;Temperature;Relative Humidity;Relative Humidity;Mean Sea Level Pressure;Mean Sea Level Pressure;Total Cloud Cover;Total Cloud Cover;High Cloud Cover;High Cloud Cover;Medium Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Low Cloud Cover;Wind Speed;Wind Speed;Wind Speed;Wind Speed;Wind Speed;Wind Speed;Wind Gust;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h;°C;°C;%;%;hPa;hPa;%;%;%;%;%;%;%;%;km/h;km/h;km/h;km/h;km/h;km/h;km/h;km/h
AGGREGATION;;;;;daily mean;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily mean;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Speed daily mean [80 m above gnd];Wind Direction daily mean [80 m above gnd];Wind Speed daily mean [900 mb];Wind Direction daily mean [900 mb];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Speed daily max [80 m above gnd];Wind Speed daily min [80 m above gnd];Wind Speed daily max [900 mb];Wind Speed daily min [900 mb];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2018;08;17;00;00;23.70;57.08;1014.94;0.40;0.00;37.05;25.08;33.96;24.96;544.95;4359.22;11.38;246.08;18.94;236.15;13.64;210.17;16.65;30.00;17.37;77.00;35.00;1018.50;1013.80;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;16.07;7.93;27.97;8.83;22.54;9.42;27.36;7.20
2018;08;18;00;00;21.38;68.67;1020.75;2.20;0.00;31.25;10.62;14.46;21.83;615.45;5406.75;5.56;200.97;8.56;123.95;8.84;142.13;9.70;25.55;16.27;88.00;55.00;1021.80;1019.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;9.66;1.48;16.56;1.14;15.63;0.36;17.64;2.52
2018;08;19;00;00;23.03;55.58;1020.61;0.00;0.00;4.12;6.25;0.00;3.33;882.23;6373.29;7.83;228.73;10.90;199.49;12.62;231.55;11.37;29.07;17.11;82.00;37.00;1022.60;1018.00;10.00;0.00;31.00;0.00;0.00;0.00;10.00;0.00;14.84;0.00;27.50;1.94;26.40;3.67;22.32;2.52
