Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Snowfall amount raw  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd],Wind Speed  [80 m above gnd],Wind Direction  [80 m above gnd],Wind Speed  [900 mb],Wind Direction  [900 mb],Wind Gust  [sfc]
2018,8,2,0,0,27.45,52.00,1020.90,0.00,0.00,100.00,100.00,100.00,58.00,0.00,0.00,1.30,123.69,4.90,107.10,4.74,81.25,4.68
2018,8,2,1,0,26.06,54.00,1020.70,0.00,0.00,100.00,100.00,100.00,9.00,0.00,0.00,7.39,316.97,8.53,332.35,10.45,1.97,9.00
2018,8,2,2,0,23.47,71.00,1020.80,0.00,0.00,100.00,65.00,100.00,0.00,0.00,0.00,11.59,306.16,17.97,327.26,13.36,14.04,15.84
2018,8,2,3,0,22.23,77.00,1021.50,0.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,11.02,321.63,24.63,344.74,12.77,21.50,15.12
2018,8,2,4,0,21.33,81.00,1021.70,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,7.70,322.59,14.83,354.43,12.61,358.36,16.56
2018,8,2,5,0,20.66,84.00,1021.40,0.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,8.67,318.37,17.65,348.23,15.16,355.91,15.84
2018,8,2,6,0,20.40,86.00,1021.80,0.00,0.00,100.00,10.00,100.00,100.00,0.00,0.00,7.39,313.03,15.68,350.75,18.09,354.29,16.20
2018,8,2,7,0,20.62,86.00,1022.70,0.30,0.00,100.00,63.00,100.00,100.00,0.00,16.02,9.02,298.61,14.18,336.04,19.49,4.24,15.12
2018,8,2,8,0,21.22,85.00,1022.30,0.00,0.00,100.00,100.00,100.00,100.00,0.00,59.63,6.12,298.07,10.31,335.22,21.25,10.74,11.52
2018,8,2,9,0,22.54,77.00,1022.40,0.00,0.00,100.00,100.00,100.00,100.00,0.00,137.95,8.35,352.57,9.01,357.71,22.38,11.13,11.88
2018,8,2,10,0,22.78,75.00,1023.20,0.00,0.00,100.00,15.00,100.00,100.00,0.00,165.54,11.44,347.28,12.85,348.69,26.34,10.23,14.40
2018,8,2,11,0,23.72,71.00,1022.80,0.00,0.00,100.00,0.00,100.00,100.00,0.00,211.82,12.92,347.13,14.26,349.82,28.82,20.47,11.16
2018,8,2,12,0,26.19,57.00,1022.70,0.00,0.00,100.00,0.00,5.00,100.00,0.00,542.01,15.03,343.30,16.33,345.96,34.21,30.34,20.52
2018,8,2,13,0,28.25,46.00,1022.40,0.00,0.00,0.00,0.00,0.00,0.00,60.00,686.19,17.06,352.72,18.06,355.43,32.48,31.40,21.60
2018,8,2,14,0,28.42,60.00,1021.50,0.10,0.00,0.00,0.00,0.00,0.00,60.00,778.75,14.77,43.03,15.02,44.03,18.86,76.76,15.12
2018,8,2,15,0,29.23,56.00,1021.20,0.30,0.00,0.00,0.00,0.00,0.00,60.00,752.94,14.69,53.97,14.98,54.78,17.29,87.61,15.12
2018,8,2,16,0,29.69,55.00,1020.90,0.00,0.00,0.00,0.00,0.00,0.00,60.00,688.86,16.10,63.43,16.60,65.66,16.74,71.18,16.56
2018,8,2,17,0,29.66,54.00,1021.10,0.00,0.00,10.00,0.00,0.00,10.00,53.62,571.38,15.82,78.18,16.45,79.92,17.38,76.83,14.40
2018,8,2,18,0,29.26,52.00,1021.10,0.00,0.00,10.00,0.00,0.00,10.00,53.62,436.10,12.78,80.27,13.49,80.79,14.06,76.68,12.96
2018,8,2,19,0,28.72,52.00,1021.50,0.00,0.00,10.00,0.00,0.00,10.00,53.62,304.38,9.45,72.26,9.69,74.93,10.97,66.80,11.52
2018,8,2,20,0,27.75,57.00,1021.50,0.00,0.00,0.00,0.00,0.00,0.00,60.00,171.77,6.29,66.37,8.70,65.56,11.49,57.80,10.80
2018,8,2,21,0,26.23,58.00,1021.40,0.00,0.00,15.00,0.00,0.00,15.00,2.00,42.72,7.42,75.96,11.73,72.12,14.02,60.80,9.72
2018,8,2,22,0,25.56,60.00,1021.90,0.00,0.00,11.00,0.00,0.00,11.00,0.00,0.00,5.69,71.57,12.52,71.57,15.51,68.20,12.24
2018,8,2,23,0,25.16,61.00,1022.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.58,45.00,14.17,62.78,16.28,71.97,12.24
2018,8,3,0,0,24.59,63.00,1022.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71,29.05,14.20,59.53,16.68,76.26,12.96
2018,8,3,1,0,24.00,65.00,1022.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,21.80,14.83,60.95,16.75,81.35,14.40
2018,8,3,2,0,23.51,67.00,1022.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,19.98,16.42,52.13,16.34,82.41,16.56
2018,8,3,3,0,22.46,71.00,1022.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,31.61,19.23,51.84,14.97,80.31,17.64
2018,8,3,4,0,21.28,76.00,1022.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.29,32.91,20.09,53.75,15.83,72.80,20.52
2018,8,3,5,0,20.16,79.00,1022.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.93,39.47,20.67,54.93,19.97,64.36,20.88
2018,8,3,6,0,19.43,81.00,1022.50,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.89,7.15,40.91,20.27,56.59,23.53,60.69,21.96
